ID,Authors,Title
153,"['Cheng - Lin Liu', 'Yi - Ming Chen', 'Chun - Bo Xu']",EntityLayout: Entity-level Pre-training Language Model for Semantic Entity Recognition and Relation Extraction
155,"['Théo LARCHER', 'Thomas', 'Lucas PR', '##T', 'Pierrick TRANOUEZ', 'Thierry PAQ', 'Sandra BREE']",End-to-end information extraction in handwritten documents: Understanding Paris marriage records from  to
156,"['Weihong Ma', 'Yang Xue', 'Yuxin Kong', 'Lianwen Jin']",GARDEN: Generative Prior Guided Network for Scene Text Image Super-Resolution
158,"['Marie B', 'Manh Tu']",ViT-ED: Transformer network for image similarity measurement
160,"['Haoyu Dong', 'Haochen Wang', 'Liangcai Gao', 'Kai Hu']",DocTabQA: Answering Questions from Long Documents Using Tables
162,"['Nam Tuan Ly', 'Toshihiko Horie', 'Nghia Thanh Truong', 'Masaki Nakagawa', 'Hung Tuan Nguyen']",Content-based Similarity for Automatic Scoring of  Handwritten Descriptive Answers
165,"['Badri Vishal Kasuba', 'Venkatapathy Subramanian', 'Parag Chaudhuri', 'Ganesh Ramakrishnan', 'Dhruv Kudale']",SPRINT: Script-agnostic Structure Recognition in Tables
166,"['Unter', 'Stephan M']",Text Line Segmentation on Ancient Egyptian Papyri: Layout Analysis with Object Detection Networks and Connected Components
167,"['Hongxi Wei', 'Hao Yu', 'Yiming Wang']",Deepfake In-air Signature Verification via Two-channel Model
168,"['Petr Kulagin', 'Dmitry Polevoy', 'Dmitry Nikolaev', 'Marina Chukalina', 'Vladimir V. Arlazarov']",Fully automatic virtual unwrapping method for documents imaged by X-ray tomography
169,"['Yejing Xie', 'Harold Mouchère']",Stroke-Level Graph Labeling with Edge-weighted Graph Attention Network for Handwritten Mathematical Expression Recognition
170,"['Axel Carlier', 'Thomas Forgione', 'Travis Seng', 'Vincent Charvillat', 'Wei Tsang Ooi']",SlideCraft: Synthetic Slides Generation for Robust Slide Analysis
172,"['Tristan Repolusk', 'Eduardo Veas']",The KuiSCIMA Dataset for Optical Music Recognition of Ancient Chinese Suzipu Notation
173,"['Mathieu Aubry', 'Elliot Vincent', 'Fabienne Vial - Bonacci', 'Zeynep Sonat Baltaci', 'Remi Emonet', 'Christelle Bahier - Porte', 'Sayan Kumar Chaki', 'Thierry Fournel']",Historical Printed Ornaments: Dataset and Tasks
176,"['Yongge Liu', 'Xinyu Wang', 'Shengwei Han', 'Xiang Bai', 'Pengjie Wang', 'Kaile Zhang', 'Lianwen Jin', 'Yuliang Liu']",Puzzle Pieces Picker: Deciphering Ancient Chinese Characters with Radical Reconstruction
177,"['Fadila Wendigoundi Douamba', 'Ling Fu', 'Jianjun Song', 'Xiang Bai', 'Yuliang Liu']",The First Swahili Language Scene Text Detection and Recognition Dataset
178,"['Zhi Pan', 'Alimjan Aysa', 'Yaowei Yang', 'Kurban Ubul']",A New Bottom-up Path Augmentation Attention Network for Script Identification in Scene Images
180,"['Kléberson F. Alves', 'V. Rocha', 'Alejandro H. Toselli', 'Macileide F. Oliveira', 'Sávio S. Araújo', 'Hugo J', 'F. Hazin', 'Byron L', 'S. Neto', 'Arthur F', 'Pedro H', 'S. Souza', 'Wiliane M', 'Samara V', 'S. Lins', 'D. Bezerra', 'A']",BRESSAY: A Brazilian Portuguese Dataset for Offline Handwritten Text Recognition
182,"['Emanuele Nardone', 'Cesare Davide Pace', 'Tiziana D ’ Alessandro', 'Claudio De Stefano', 'Francesco Fontanella']",From Handwriting Analysis to Alzheimers Disease Prediction: An Experimental Comparison of Classifier Combination Methods
185,"['Aurélie Joseph', 'Mick', 'Vincent Poulain d ’ Andecy', '##ël Coustaty', 'Jean - Marc Ogier', 'Ibrahim Souleiman Mahamoud']",CHIC: Corporate Document for Visual Question Answering
187,"['Alejandro H. Toselli', 'Enrique Vidal']",Zipf Curves and Basic Text Analytics from Untranscribed Manuscript Images
190,"['Biao Yang', 'Wenwen Yu', 'Xiang Bai', 'Chenyang Gao', 'Yuliang Liu']",Knowledge Mining of Scene Text for Referring Expression Comprehension
